Tipo de estacion;Estacion;Ciudad;Tipo de carga;Horario;Direccion;Estandar Cargador;Ubicacion o sitio web;Coordenadas;Latitud;Longitud;;;
Estacion de carga electrica EPM;EDS Santa Maria - Sabaneta;Sabaneta;Rapida;12:00 pm a 11:59 pm;Carrera 38 # 72 sur, Sabaneta;CHAdeMO- COMBO 1- MENNEKES;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.15343000,-75.61927444;6,15343;-75,61927444;;;
Estacion de carga electrica EPM;CC SantaFE;Medellin;Semi Rapida;10:00 am a 9:00 pm;Carrera 43 A # 7 Sur - 170, Medellin;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.19638224,-75.57439339;6,19638224;-75,57439339;;;
Estacion de carga electrica EPM;CC SantaFE;Medellin;Semi Rapida;10:00 am a 9:00 pm;Carrera 43 A # 7 Sur - 170, Medellin;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.19638224,-75.57439339;6,19638224;-75,57439339;;;
Estacion de carga electrica EPM;CC El Tesoro;Medellin;Semi Rapida;8:00 am a 10:00 pm;Carrera 25 A # 1 A Sur – 45, Medellin;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.19669812,-75.55892548;6,19669812;-75,55892548;;;
Estacion de carga electrica EPM;CC El Tesoro;Medellin;Semi Rapida;8:00 am a 10:00 pm;Carrera 25 A # 1 A Sur – 45, Medellin;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.19669812,-75.55892548;6,19669812;-75,55892548;;;
Estacion de carga electrica EPM;CC Unicentro;Medellin;Semi Rapida;9:00 am a 8:00 pm;Carrera 66 B # 34 A - 76, Medellin;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.24171224,-75.58784611;6,24171224;-75,58784611;;;
Estacion de carga electrica EPM;CC Unicentro;Medellin;Semi Rapida;9:00 am a 8:00 pm;Carrera 66 B # 34 A - 76, Medellin;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.24171224,-75.58784611;6,24171224;-75,58784611;;;
Estacion de carga electrica EPM;Viva Palmas;Envigado;Semi Rapida;7:00 am a 8:00 pm;Calle 36 D Sur # 27 A - 105, Envigado;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.15293469,-75.54097876;6,15293469;-75,54097876;;;
Estacion de carga electrica EPM;Viva Palmas;Envigado;Semi Rapida;7:00 am a 8:00 pm;Calle 36 D Sur # 27 A - 105, Envigado;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.15293469,-75.54097876;6,15293469;-75,54097876;;;
Estacion de carga electrica EPM;CC La Florida;Medellin;Semi Rapida;10:00 am a 9:00 pm;Calle 71 # 65 - 150, Medellin;J1772- 7,4 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.27227632,-75.57994240;6,27227632;-75,5799424;;;
Estacion de carga electrica EPM;CC La Florida;Medellin;Semi Rapida;10:00 am a 9:00 pm;Calle 71 # 65 - 150, Medellin;Europeo- Mennekes 22 Kw-h;https://grupoepm.maps.arcgis.com/apps/webappviewer/index.html?id=8f59053e691a4218a3ce3565b15348e5;6.27227632,-75.57994240;6,27227632;-75,5799424;;;
